Word,Count
numpak,1
redzone,7
bosok,3
kakean,1
stres,14
artic,2
survive,11
vikendi,113
badai,6
salju,27
serak,3
hackers,1
juta,42
pubgmkh,1
hampir,3
promax,2
nyenengin,1
jim,1
taruk,1
kereeeeennnn,1
otentikasi,2
downlod,15
ump,13
pluru,9
hranyankuat,1
dmrnya,1
sniper,44
kepala,73
mandet,1
gantiin,3
oo,1
ajang,8
gengsi,2
collab,32
brandbrand,1
budak,1
sukak,6
join,18
macht,7
ji,2
negeri,5
massal,3
mangkin,11
pbubg,1
terllu,10
tuntas,20
ngilang,15
dilaporin,5
tanggapin,7
divence,2
inget,10
tahap,13
uzi,4
pemenang,28
field,9
ranking,7
mentang,16
early,1
bubar,8
tololah,1
highrange,1
midrange,5
stupid,5
teamup,1
sangsi,11
selesaiselasai,1
